Name,Rating,Reviews,Address
Eden Royals- A foodcity,4.7,169,No-contact delivery
Dusri Biwi Cafe & Restaurant,4.3,93,Veg-only
Cafe 21 Restaurant,4.6,431,No-contact delivery
Food Garden,4.2,469,No-contact delivery
Grills and Giggles,4.7,223,Takeaway
The Godfather,4.3,582,No-contact delivery
Dream Cafe & Restaurant,3.0,118,No-contact delivery
"Shree Nawab Restaurant, Central Road",4.6,0,No-contact delivery
Mirch Masala Silchar,4.9,48,Veg-only
Brotherhood Cafe and Restaurant,3.7,0,No-contact delivery
China Town-Multi Cuisine Restaurant with Party hall,4.4,0,No-contact delivery
"Shree Nawab Restaurant, Club Road",4.4,0,Traditional fare in an informal venue
ZAHRA Multi Cuisine Family Restaurant,4.4,232,No-contact delivery
RANNA GHAR,4.1,951,No-contact delivery
Etyadi,4.0,633,No-contact delivery
Jaya's hotel and restaurant,4.3,121,Delivery
ZORKO Brand of Food Lovers,4.6,159,Veg-only
Karim's - Original From Jama Masjid Delhi - 6,3.8,568,No-contact delivery
Paniharin Restaurant,3.6,114,No-contact delivery
Food and love,4.2,609,Delivery
Skyview,3.8,112,Takeaway
Shakahaar Restaurant,4.1,776,Veg-only
TWO BROTHERS CAFE & RESTAURANT,3.8,71,Delivery
RDP Cafe and Restaurant,4.1,67,No-contact delivery
The Hashtag Cafe Silchar,3.9,201,Veg-only
Blue Orchid Restobar,3.7,475,No-contact delivery
7th Heaven Silchar,3.5,372,Veg-only
Sangai Fine Dine Family Restaurant,4.3,24,Delivery
Tandoori Magic,4.3,72,No-contact delivery
Yumzup cafe,4.6,28,Delivery
Khan Restaurant Silchar,3.9,349,Delivery
Atithi Appayan Restaurant,3.9,131,No-contact delivery
Ds DOSA FACTORY,3.9,53,Veg-only
FoodXMusic,4.8,29,No-contact delivery
Restaurant sudarshan,4.6,16,Delivery
Tasty food kitchen,4.8,19,No-contact delivery
Pakwan Multi-Cuisine Restaurant,3.2,302,No-contact delivery
AROMA Cafe & Restaurant,4.0,452,No-contact delivery
Yákatañ,3.9,74,Takeaway
Restaurant Diya,3.6,43,Takeaway
The RoofTop Restro,3.2,68,Takeaway
JAGANNATH BHOJANALAYA,4.0,276,Veg-only
Bhooter Raja Dilo 3 Bor,3.2,157,No-contact delivery
Gomoti Restaurant,3.4,180,Delivery
Silchar Puchka House,4.9,9,Takeaway
HOTEL RADHUNI,4.1,326,Drive-through
Swarupa Restaurant Dhaba,3.7,193,Delivery
Momo Magic Cafe Silchar,4.3,198,Veg-only
Hasty Tasty Restaurant,3.9,0,Veg-only
Brothers kitchen,4.9,33,Drive-through
Seven Spices,4.3,11,No-contact delivery
"The Chocolate Room, Silchar",4.1,145,No-contact delivery
BBC Cafe,4.1,281,No-contact delivery
CafeHub,3.9,0,No-contact delivery
Eat & Fit,3.9,745,No-contact delivery
The Panda Chef,4.4,13,No-contact delivery
Restaurant Gulmohar,3.4,10,Drive-through
Wonder Chef,3.8,12,Takeaway
Pet Pooja Resturant,3.6,18,Veg-only
AL-HALAAL,4.3,37,Delivery
Mom's Kitchen Restaurant Silchar,4.3,21,Drive-through
Oh Yes Biriyani,3.4,105,Delivery
Kalpana's Hotel Cum Restaurant,3.8,16,Takeaway
CHAKHDEY RESTAURANT,4.4,12,No-contact delivery
La Trio Pizza & The Kathi Nation,4.0,630,Informal pit stop for wood-fired pizza
Tantra,3.8,850,No-contact delivery
Tribal Kitchen,4.0,491,No-contact delivery
Yo Momo,3.9,609,Delivery
CITY RESTAURANT,4.4,5,Delivery
Hotel Dhakaiya,3.7,330,Delivery
ASSAMESE RESTAURANT,5.0,1,"RQGQ+FPX, KV Rd"
HOT-BIRD Bar cum Restaurant,3.7,341,Takeaway
Ministry of Chicken,4.4,25,Delivery
Babumashai Authentic Bengali Cuisine,3.5,20,Delivery
The Spicy Kitchen Silchar,4.0,24,No-contact delivery
Momo ghar,3.7,245,Delivery
ONE BITE SILCHAR,3.9,89,No-contact delivery
Mirch Masala,4.6,18,Veg-only
Marwadi Dhabha,4.2,0,Veg-only
Madhav Bhojanalaya,4.2,9,Veg-only
Amyrah's Biryani Corner,4.5,33,Delivery
SriKrishna Bhojanalaya,4.1,120,Veg-only
Choudhury Hotel & Restaurant,3.6,58,Takeaway
