Name,Rating,Reviews,Address
Eden Royals- A foodcity,4.7,169,No-contact delivery
Dusri Biwi Cafe & Restaurant,4.3,93,Veg-only
Cafe 21 Restaurant,4.6,431,No-contact delivery
Food Garden,4.2,469,No-contact delivery
Grills and Giggles,4.7,223,Takeaway
The Godfather,4.3,582,No-contact delivery
Dream Cafe & Restaurant,3.0,118,No-contact delivery
"Shree Nawab Restaurant, Central Road",4.6,0,No-contact delivery
Mirch Masala Silchar,4.9,48,Veg-only
Brotherhood Cafe and Restaurant,3.7,0,No-contact delivery
China Town-Multi Cuisine Restaurant with Party hall,4.4,0,No-contact delivery
"Shree Nawab Restaurant, Club Road",4.4,0,Traditional fare in an informal venue
ZAHRA Multi Cuisine Family Restaurant,4.4,232,No-contact delivery
RANNA GHAR,4.1,951,No-contact delivery
Etyadi,4.0,633,No-contact delivery
Jaya's hotel and restaurant,4.3,121,Delivery
ZORKO Brand of Food Lovers,4.6,159,Veg-only
Karim's - Original From Jama Masjid Delhi - 6,3.8,568,No-contact delivery
Paniharin Restaurant,3.6,114,No-contact delivery
Food and love,4.2,609,Delivery
