Name,Address,Phone,Price,Services,Rating
Dusri Biwi Cafe & Restaurant,"second floor, Bhai Bhai medicine building, Trinayani Ln, opposite Malika Medico, Kanakpur, Silchar, Kanakpur Part-II, Assam 788005",Not found,₹200–400,Not found,Not found
Cafe 21 Restaurant,"Central Rd, Gandhi Bagh, Ambicapatty, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Food Garden,"QRW2+JM5, 2nd Link Rd, Birbal Bazar, Silchar, Assam 788006",Not found,₹200–400,Not found,Not found
Dream Cafe & Restaurant,"Oppo. Big Bazar, Silchar, Assam 788004",Not found,₹200–400,Not found,Not found
Brotherhood Cafe and Restaurant,"Oppo. Big Bazar, Silchar, Assam 788004",Not found,₹200–400,Not found,Not found
Mirch Masala Silchar,"Sramik Union Complex, Sadarghat Road, Janiganj Gold Cinema Building, Barak Cha, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
ZAHRA Multi Cuisine Family Restaurant,"Sonai Road, opp. Talukder Medical Hall, Part II, Saidpur, Uttar Krishnapur Part-I, Silchar, Assam 788006",Not found,₹200–400,Not found,Not found
"Shree Nawab Restaurant, Central Road","Sonai Road, opp. Talukder Medical Hall, Part II, Saidpur, Uttar Krishnapur Part-I, Silchar, Assam 788006",Not found,₹200–400,Not found,Not found
"Shree Nawab Restaurant, Club Road","Ellora Hotel Complex, Club Rd, near Hiranmoyee Lodge, Tarapur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Karim's - Original From Jama Masjid Delhi - 6,"First Floor, Landmark :, Shyamal's Paradise, Shillong Patty, near to Women's College, Nazirpatty, Ambicapatty, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Eden Royals- A foodcity,"First Floor, Landmark :, Shyamal's Paradise, Shillong Patty, near to Women's College, Nazirpatty, Ambicapatty, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
ZORKO Brand of Food Lovers,"Vivekananda Rd, Ambicapatty, Silchar, Uttar Krishnapur Part-I, Assam 788007",Not found,₹200–400,Not found,Not found
Grills and Giggles,"RQFX+28P, NN Dutta Road, Premtala Rd, Silchar, Assam",Not found,₹200–400,Not found,Not found
Jaya's hotel and restaurant,"RQFX+28P, NN Dutta Road, Premtala Rd, Silchar, Assam",Not found,₹200–400,Not found,Not found
The Godfather,"Hotel Swagat, Central Rd, Tarapur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
TWO BROTHERS CAFE & RESTAURANT,"RQ7X+JG9, Public School Road, Kanakpur, Silchar, Kanakpur Part-II, Assam 788004",Not found,₹200–400,Not found,Not found
The Hashtag Cafe Silchar,"RQ7X+JG9, Public School Road, Kanakpur, Silchar, Kanakpur Part-II, Assam 788004",Not found,₹200–400,Not found,Not found
RDP Cafe and Restaurant,"National Highway Point, near Shani Mandir, Birbal Bazar, Silchar, Kanakpur Part-II, Assam 788005",Not found,₹200–400,Not found,Not found
China Town-Multi Cuisine Restaurant with Party hall,"Nazirpatty, Tarapur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Atithi Appayan Restaurant,"Nazirpatty, Tarapur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Dusri Biwi Cafe & Restaurant,,Not found,₹200–400,Not found,Not found
Tandoori Magic,,Not found,₹200–400,Not found,Not found
AS 11 Dhaba,"RQFX+68X, Nazirpatty, Ambicapatty, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Etyadi,"PWD Rd, Tarapur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Yumzup cafe,"PWD Rd, Tarapur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Pakwan Multi-Cuisine Restaurant,"Shillong Patty, Shyamaprasad Road, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
FoodXMusic,"chourangi Ma Durga Bhavan, opposite to Hitesh Biswas Road, Ambicapatty, Silchar, Assam 788004",Not found,₹200–400,Not found,Not found
